1.00000,0.00000
1.20000,11.0000
1.40000,12.0000
1.60000,15.0000
1.80000,33.0000
2.00000,47.0000
2.20000,66.0000
2.40000,85.0000
2.60000,99.0000
2.80000,109.000
3.00000,110.000
3.20000,129.000
3.40000,129.000
3.60000,159.000
3.80000,166.000
4.00000,163.000
4.20000,171.000
4.40000,163.000
4.60000,169.000
4.80000,163.000
5.00000,148.000
5.20000,176.000
5.40000,160.000
5.60000,155.000
5.80000,166.000
6.00000,146.000
6.20000,168.000
6.40000,156.000
6.60000,144.000
6.80000,149.000
7.00000,154.000
7.20000,142.000
7.40000,155.000
7.60000,145.000
7.80000,149.000
8.00000,117.000
8.20000,135.000
8.40000,101.000
8.60000,122.000
8.80000,126.000
9.00000,102.000
9.20000,112.000
9.40000,132.000
9.60000,122.000
9.80000,117.000
10.0000,105.000
10.2000,105.000
10.4000,105.000
10.6000,111.000
10.8000,95.0000
11.0000,104.000
11.2000,106.000
11.4000,76.0000
11.6000,88.0000
11.8000,96.0000
12.0000,88.0000
12.2000,95.0000
12.4000,77.0000
12.6000,74.0000
12.8000,95.0000
13.0000,89.0000
13.2000,85.0000
13.4000,67.0000
13.6000,68.0000
13.8000,88.0000
14.0000,73.0000
14.2000,82.0000
14.4000,66.0000
14.6000,66.0000
14.8000,65.0000
15.0000,62.0000
15.2000,50.0000
15.4000,73.0000
15.6000,69.0000
15.8000,53.0000
16.0000,49.0000
16.2000,62.0000
16.4000,56.0000
16.6000,66.0000
16.8000,52.0000
17.0000,64.0000
17.2000,39.0000
17.4000,52.0000
17.6000,56.0000
17.8000,57.0000
18.0000,47.0000
18.2000,49.0000
18.4000,50.0000
18.6000,56.0000
18.8000,44.0000
19.0000,50.0000
19.2000,36.0000
19.4000,53.0000
19.6000,48.0000
19.8000,44.0000
20.0000,39.0000
20.2000,33.0000
20.4000,46.0000
20.6000,45.0000
20.8000,33.0000
